,Product_A,Product_B,Lift,product_A_name,product_B_name
39050,27695,16349,7.056936030784471,Natural Chicken & Sage Breakfast Sausage,Organic Yams
14608,43154,196,7.056108934555489,Sparkling Mineral Water,Soda
8347,21288,6184,7.05286119204773,Blackberries,Clementines
43343,24561,43713,7.030361098233143,Organic Cheese Frozen Pizza,Organic Creamy Peanut Butter
43825,20955,32478,7.020214343203287,Cereal,Reduced Fat 2% Milk
16801,25931,44683,7.0160626268041995,Organic Baby Spinach Salad,Brussels Sprouts
19214,30827,37687,6.999929236187899,Seedless Cucumbers,Organic Spring Mix
44578,13984,31717,6.94539671551367,Organic Mint,Organic Cilantro
32989,41665,7781,6.9128950143641585,Organic Mexican Blend Finely Shredded Cheese,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
41340,48745,45007,6.911867352871849,Globe Eggplant,Organic Zucchini
40571,28993,44142,6.908021541950113,Iceberg Lettuce,Red Onion
11766,46802,17948,6.8993153646266085,Pineapple Chunks,Frozen Organic Wild Blueberries
24749,10957,47977,6.895796623100699,Fridge Pack Cola,Grapefruit Sparkling Water
35619,26940,34243,6.894050878208338,Organic Large Green Asparagus,Organic Baby Broccoli
32826,7948,18531,6.883654863013248,Organic Unsalted Butter,Organic Heavy Whipping Cream
32348,4472,30450,6.867240064051902,Toasted Coconut Almondmilk Blend,Creamy Almond Butter
21935,49520,20119,6.838223560186471,Orange Sparkling Water,Sparkling Water Berry
14001,10246,21405,6.831183720588497,Organic Celery Hearts,"Organic Red Radish, Bunch"
31209,39619,33731,6.791421178343948,Organic Tomato Basil Pasta Sauce,Grated Parmesan
35159,15424,31683,6.769861111111111,Purified Water,Original No Pulp 100% Florida Orange Juice
14100,25659,46667,6.715708876144675,Organic Coconut Milk,Organic Ginger Root
41595,48745,26940,6.708714695381254,Globe Eggplant,Organic Large Green Asparagus
42939,40709,23734,6.700241415156747,Sea Salt & Vinegar Potato Chips,Sour Cream
10193,2295,24184,6.697849103877473,Yellow Bell Pepper,Red Peppers
44115,13535,42701,6.689035268285989,Organic Medium Salsa,Organic Sour Cream
27381,47630,28849,6.682354093223658,Medium Navel Orange,No Salt Added Black Beans
42031,5646,22963,6.67978504721953,Organic Turkey Bacon,Organic Roasted Turkey Breast
8624,42768,42585,6.646643863769246,Organic Garbanzo Beans,Organic Extra Firm Tofu
19618,5818,8193,6.643340129450738,White Onion,Russet Potato
22058,29447,32655,6.607796264372474,"Milk, Organic, Vitamin D",Organic Large Grade AA Brown Eggs
30119,1158,890,6.595084543498722,Mango Chunks,Organic Diced Tomatoes
38726,21292,17122,6.5898390850476884,Rainbow Bell Peppers,Honeycrisp Apples
8635,42768,28849,6.57515055162114,Organic Garbanzo Beans,No Salt Added Black Beans
35766,26940,23165,6.551822955361653,Organic Large Green Asparagus,Organic Leek
13132,39408,6184,6.509044249234655,Gala Apples,Clementines
1693,21938,24184,6.4902368354749305,Green Bell Pepper,Red Peppers
32620,23165,14678,6.482668001269726,Organic Leek,Organic Frozen Peas
12689,42701,19678,6.473848085714588,Organic Sour Cream,Organic Russet Potato
25650,13646,34448,6.470680533702425,Lemon Hummus,Original Veggie Straws
32890,7948,39619,6.468020169851379,Organic Unsalted Butter,Organic Tomato Basil Pasta Sauce
40933,41149,28289,6.457159191043839,Organic Riced Cauliflower,Organic Shredded Carrots
31360,39619,14678,6.45484701268264,Organic Tomato Basil Pasta Sauce,Organic Frozen Peas
9418,1463,30233,6.448517165416757,Organic Milk,Organic Large Brown Grade AA Cage Free Eggs
13332,32689,21288,6.446314327751236,Romaine Hearts,Blackberries
35943,35561,32478,6.4337002719041205,Organic Tortilla Chips,Reduced Fat 2% Milk
42315,40545,28849,6.430171967020024,Berry Medley,No Salt Added Black Beans
34880,30169,18523,6.423517938857525,Total 2% All Natural Plain Greek Yogurt,Total 2% All Natural Greek Strained Yogurt with Honey
45142,651,329,6.419994264403225,Organic Salted Butter,Organic Whole Grassmilk Milk
32552,23165,10246,6.403954302761492,Organic Leek,Organic Celery Hearts
38412,15937,18531,6.401241423175215,Shallot,Organic Heavy Whipping Cream
27623,14678,19678,6.394588095959381,Organic Frozen Peas,Organic Russet Potato
28146,5782,16953,6.390608904122417,Grade A Large White Eggs,Creamy Peanut Butter
35502,35042,41665,6.362445767705523,Black Beans,Organic Mexican Blend Finely Shredded Cheese
44733,13984,35939,6.3525849012692674,Organic Mint,Organic Jalapeno Pepper
16529,35939,21938,6.352050651585936,Organic Jalapeno Pepper,Green Bell Pepper
17920,3952,31343,6.3434807814976155,Organic Broccoli Crowns,Shredded Mild Cheddar Cheese
35393,35042,44683,6.337785125195037,Black Beans,Brussels Sprouts
29628,31040,34448,6.325722760950221,Sea Salt Pita Chips,Original Veggie Straws
33832,37710,39408,6.313153012781497,Trail Mix,Gala Apples
31299,39619,43768,6.297884998196795,Organic Tomato Basil Pasta Sauce,Organic Bell Pepper
36595,6104,27845,6.287141324949977,Whole Milk Plain Yogurt,Organic Whole Milk
35469,35042,40332,6.282038759216676,Black Beans,"Cage Free Brown Eggs-Large, Grade A"
15904,28289,24830,6.269668038171901,Organic Shredded Carrots,Organic Romaine
25904,38768,43352,6.262247729772726,Sweet Kale Salad Mix,Raspberries
26043,38768,32478,6.253803850213739,Sweet Kale Salad Mix,Reduced Fat 2% Milk
35491,35042,10673,6.2514640374683665,Black Beans,Original Nooks & Crannies English Muffins
16727,25931,34358,6.246599079015952,Organic Baby Spinach Salad,Garlic
35202,15424,10957,6.241703142461817,Purified Water,Fridge Pack Cola
35970,35561,8571,6.2278866863797315,Organic Tortilla Chips,Baby Cucumbers
24850,17122,28199,6.227278923828282,Honeycrisp Apples,"Clementines, Bag"
22145,29447,47672,6.226917141420055,"Milk, Organic, Vitamin D",Uncured Hickory Smoked Sunday Bacon
4041,11777,26604,6.220178034191875,Red Raspberries,Organic Blackberries
43852,20955,8571,6.218231048106275,Cereal,Baby Cucumbers
6736,5025,29487,6.216011222308589,Green Onions,Roma Tomato
34915,30169,20119,6.212094780015161,Total 2% All Natural Plain Greek Yogurt,Sparkling Water Berry
35478,35042,39993,6.195504640713534,Black Beans,Vine Ripe Tomatoes
12776,43789,34126,6.188822269330101,Organic Basil,Organic Italian Parsley Bunch
33604,4562,13629,6.1819374793744055,English Seedless Cucumber,Organic Snipped Green Beans
25076,40332,9387,6.180772719735469,"Cage Free Brown Eggs-Large, Grade A",Granny Smith Apples
22667,2078,33000,6.164355152300713,Unsalted Pure Irish Butter,Pure Irish Butter
42063,5646,33120,6.157312990813583,Organic Turkey Bacon,Organic Egg Whites
24918,17122,32478,6.152574196500418,Honeycrisp Apples,Reduced Fat 2% Milk
29432,31040,30489,6.1479753388233345,Sea Salt Pita Chips,Original Hummus
14159,25659,42768,6.143270689651387,Organic Coconut Milk,Organic Garbanzo Beans
15126,43768,15290,6.141196586854902,Organic Bell Pepper,Orange Bell Pepper
34923,30169,4957,6.138131541284551,Total 2% All Natural Plain Greek Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry
33055,41665,42701,6.136787769083489,Organic Mexican Blend Finely Shredded Cheese,Organic Sour Cream
44173,13535,30450,6.135963709441749,Organic Medium Salsa,Creamy Almond Butter
15291,48205,29487,6.135050149948564,Spinach,Roma Tomato
17879,3952,32655,6.133088188562891,Organic Broccoli Crowns,Organic Large Grade AA Brown Eggs
33125,41665,890,6.129824815087461,Organic Mexican Blend Finely Shredded Cheese,Organic Diced Tomatoes
43196,24561,8021,6.120397271147231,Organic Cheese Frozen Pizza,100% Recycled Paper Towels
29739,20082,7781,6.089752812278861,Organic Whole Milk with DHA Omega-3,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese
3147,28842,29487,6.0713226894847905,Bunched Cilantro,Roma Tomato
36120,16349,34358,6.062602584860862,Organic Yams,Garlic
31230,39619,4799,6.062200016891754,Organic Tomato Basil Pasta Sauce,Shredded Parmesan
9653,43122,39928,6.056345848876677,Organic Bartlett Pear,Organic Kiwi
26444,28934,42585,6.0444786940279505,Frozen Broccoli Florets,Organic Extra Firm Tofu
43019,40709,44987,6.033393608662426,Sea Salt & Vinegar Potato Chips,Heavy Whipping Cream
17475,29987,33731,6.024782014901118,Shredded Mozzarella,Grated Parmesan
10952,44683,34358,6.020278654729588,Brussels Sprouts,Garlic
25804,2966,46802,5.992794592280033,Pure Coconut Water,Pineapple Chunks
37638,47141,5782,5.991974430570922,Cola,Grade A Large White Eggs
44133,13535,17600,5.988534694289907,Organic Medium Salsa,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry"
41371,48745,41950,5.970974708014593,Globe Eggplant,Organic Tomato Cluster
26226,890,28849,5.966949125596185,Organic Diced Tomatoes,No Salt Added Black Beans
36313,16349,26940,5.942558586927206,Organic Yams,Organic Large Green Asparagus
37090,43713,47630,5.939870305087696,Organic Creamy Peanut Butter,Medium Navel Orange
7309,41220,44359,5.938847952195254,Organic Romaine Lettuce,Organic Small Bunch Celery
38668,21292,32478,5.93880025098842,Rainbow Bell Peppers,Reduced Fat 2% Milk
35704,26940,13629,5.93734546447427,Organic Large Green Asparagus,Organic Snipped Green Beans
5221,30233,5785,5.929762440467027,Organic Large Brown Grade AA Cage Free Eggs,Organic Reduced Fat 2% Milk
6208,24489,20995,5.929618692363485,Organic Whole Strawberries,Organic Broccoli Florets
9429,1463,32655,5.924851457281465,Organic Milk,Organic Large Grade AA Brown Eggs
43920,20955,37710,5.9247305426356585,Cereal,Trail Mix
5129,44142,28842,5.918591373181217,Red Onion,Bunched Cilantro
32742,7948,30233,5.917004516363041,Organic Unsalted Butter,Organic Large Brown Grade AA Cage Free Eggs
25397,34448,10132,5.902400252563865,Original Veggie Straws,Organic American Cheese Singles
17364,18531,42701,5.889720542133492,Organic Heavy Whipping Cream,Organic Sour Cream
4813,14947,35221,5.874293759065017,Pure Sparkling Water,Lime Sparkling Water
9816,21405,16759,5.8730561328624695,"Organic Red Radish, Bunch",Organic Carrot Bunch
28188,5782,10957,5.852626187999505,Grade A Large White Eggs,Fridge Pack Cola
1567,34126,31717,5.8524535672526445,Organic Italian Parsley Bunch,Organic Cilantro
13933,10246,46667,5.849454012030605,Organic Celery Hearts,Organic Ginger Root
27021,21376,34448,5.847097781061669,Pretzel Crisps Original Deli Style Pretzel Crackers,Original Veggie Straws
15371,48205,31553,5.843533512018428,Spinach,Fresh Ginger Root
30357,10673,10957,5.8377923428225476,Original Nooks & Crannies English Muffins,Fridge Pack Cola
24665,10957,43772,5.8252648914431,Fridge Pack Cola,Cherubs Heavenly Salad Tomatoes
23832,47977,31683,5.812718724916867,Grapefruit Sparkling Water,Original No Pulp 100% Florida Orange Juice
25156,40332,16953,5.809115828224108,"Cage Free Brown Eggs-Large, Grade A",Creamy Peanut Butter
15730,17600,31343,5.800086028002351,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",Shredded Mild Cheddar Cheese
2815,15290,24184,5.789842742974994,Orange Bell Pepper,Red Peppers
5116,44142,29487,5.789629500143431,Red Onion,Roma Tomato
40922,41149,10246,5.770586347326565,Organic Riced Cauliflower,Organic Celery Hearts
25194,40332,47977,5.7671511111987535,"Cage Free Brown Eggs-Large, Grade A",Grapefruit Sparkling Water
8263,21288,16797,5.755588107250159,Blackberries,Strawberries
41854,6348,26790,5.7546937657666914,Mini Original Babybel Cheese,Organic AppleApple
39879,28156,21019,5.749700045835692,Total 0% Nonfat Plain Greek Yogurt,Roasted Red Pepper Hummus
40645,28993,48205,5.747687195154634,Iceberg Lettuce,Spinach
19619,5818,5025,5.746166059229217,White Onion,Green Onions
44206,13535,39619,5.7410668942773055,Organic Medium Salsa,Organic Tomato Basil Pasta Sauce
2570,46667,24964,5.735092237360824,Organic Ginger Root,Organic Garlic
42380,40545,42342,5.727919698315924,Berry Medley,Roasted Turkey Breast
35662,26940,24830,5.726127146669544,Organic Large Green Asparagus,Organic Romaine
40536,28993,29487,5.70952141900937,Iceberg Lettuce,Roma Tomato
40985,41149,28934,5.709142575245722,Organic Riced Cauliflower,Frozen Broccoli Florets
34928,30169,40571,5.708708421142564,Total 2% All Natural Plain Greek Yogurt,Total 2% Greek Strained Yogurt with Cherry 5.3 oz
44514,33768,35547,5.704949358690713,Sinfully Sweet Campari Tomatoes,Organic Baby Kale
15286,48205,9076,5.699994366689653,Spinach,Blueberries
35941,35561,32689,5.699564348761534,Organic Tortilla Chips,Romaine Hearts
10664,31553,28842,5.695796607905983,Fresh Ginger Root,Bunched Cilantro
